+------------------------------------------------------------------------------------------------------+-------------------+------------------+
| substance                                                                                            | allergic_patients | drugs_containing |
| Paracetamol, Caffeine, Codeine Phosphate Hemihydrate                                                 |                 0 |                1 |
| Clonidine Hydrochloride                                                                              |                 0 |                1 |
| Sevelamer Carbonate                                                                                  |                 0 |                4 |
| Emtricitabine, Tenofovir Disoproxil Fumarate                                                         |                 0 |                2 |
| Tramadol Hydrochloride, Dexketoprofen                                                                |                 0 |                1 |
| Ketotifen Hydrogen Fumarate                                                                          |                 0 |                7 |
| Amoxicillin, Clavulanic Acid                                                                         |                 0 |                9 |
| Metronidazole                                                                                        |                 0 |               15 |
| Calcium, Lactic Acid, Magnesium, Sodium, Chloride Ion, Hydrogen Carbonate                            |                 0 |                1 |
| Pimecrolimus                                                                                         |                 0 |                1 |
| Danaparoid Sodium                                                                                    |                 0 |                1 |
| Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350                        |                 0 |                2 |
| Escitalopram                                                                                         |                 0 |               10 |
| Valine, Alanine, Arginine, Cysteine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Prol |                 0 |                1 |
| Haloperidol Decanoate                                                                                |                 0 |                2 |
| Levofloxacin                                                                                         |                 0 |               12 |
| Ascorbic Acid, Paracetamol                                                                           |                 0 |                3 |
| Mycobacterium Bovis, Danish Strain 1331                                                              |                 0 |                2 |
| Cefazolin Sodium                                                                                     |                 0 |                1 |
| Potassium Iodide, Sodium Iodide                                                                      |                 0 |                1 |
| Dexketoprofen                                                                                        |                 0 |                4 |
| Sulfadiazine Silver, Sodium Hyaluronate                                                              |                 0 |                3 |
| Famotidine                                                                                           |                 0 |                6 |
| Zidovudine                                                                                           |                 0 |                2 |
| Hydrochlorothiazide, Irbesartan                                                                      |                 0 |                7 |
| Loratadine, Pseudoephedrine Sulphate                                                                 |                 0 |                1 |
| Beclometasone Dipropionate Anhydrous                                                                 |                 0 |                2 |
| Nimesulide                                                                                           |                 0 |               25 |
| Chloramphenicol, Dexamethasone                                                                       |                 0 |                1 |
| Pyridoxine Hydrochloride                                                                             |                 0 |                1 |
| Teicoplanin                                                                                          |                 0 |                7 |
| Fludrocortisone Acetate, Polymyxin B Sulfate, Lidocaine Hydrochloride                                |                 0 |                1 |
| Ibuprofen, Paracetamol                                                                               |                 0 |                9 |
| Acemetacin                                                                                           |                 0 |                1 |
| Magnesium Glycerophosphate, Pyridoxine Hydrochloride                                                 |                 0 |                1 |
| Bicalutamide                                                                                         |                 0 |               11 |
| Olmesartan Medoxomil, Hydrochlorothiazide, Amlodipine Besilate                                       |                 0 |                1 |
| Cilostazol                                                                                           |                 0 |                4 |
| Rifaximin                                                                                            |                 0 |                1 |
| Doxazosin                                                                                            |                 0 |                1 |
| Folic Acid, Ferric Hydroxide Polymaltose Complex                                                     |                 0 |                2 |
| Alteplase                                                                                            |                 0 |                2 |
| Menthol, Camphor, Eucalyptus Oil, Thymol, Turpentine Oil                                             |                 0 |                1 |
| Bumetanide                                                                                           |                 0 |                2 |
| Paracetamol                                                                                          |                 0 |               31 |
| Clofarabine                                                                                          |                 0 |                2 |
| Sertindole                                                                                           |                 0 |                1 |
| Eltrombopag                                                                                          |                 0 |               12 |
| Torasemide                                                                                           |                 0 |                3 |
| Gemcitabine                                                                                          |                 0 |               10 |
| Ketoprofen Lysine                                                                                    |                 0 |                3 |
| Amoxicillin                                                                                          |                 0 |                1 |
| Metoprolol Succinate                                                                                 |                 0 |                1 |
| Calcium Gluconate Monohydrate                                                                        |                 0 |                2 |
| Phenytoin                                                                                            |                 0 |                1 |
| Dabigatran Etexilate Mesilate                                                                        |                 0 |                3 |
| Sodium Hydrogen Carbonate, Calcium Carbonate, Sodium Alginate                                        |                 0 |                6 |
| Erythromycin, Isotretinoin                                                                           |                 0 |                1 |
| Valeriana Officinalis L. Root Ethanol Dry Extract, Humulus Lupulus Extractum Siccum                  |                 0 |                1 |
| Haemophilus Influenzae Type B Polysaccharide (Polyribosylribitol Phosphate), Diphtheria Toxoid, Teta |                 0 |                1 |
| Levocetirizine Dihydrochloride                                                                       |                 0 |                3 |
| Ascorbic Acid, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Thiamine, Pantothenic Acid, |                 0 |                1 |
| Moxonidine                                                                                           |                 0 |                2 |
| Cefaclor                                                                                             |                 0 |                3 |
| Potassium Hydrogen Carbonate, Betaine Hydrochloride                                                  |                 0 |                1 |
| Dexamethasone, Levofloxacin                                                                          |                 0 |                1 |
| Ezetimibe, Rosuvastatin Zinc                                                                         |                 0 |                1 |
| Xylometazoline Hydrochloride, Dexpanthenol                                                           |                 0 |                3 |
| Hydrochlorothiazide                                                                                  |                 0 |                2 |
| Bacitracin, Papain, Lysozyme Hydrochloride                                                           |                 0 |                1 |
| Niflumic Acid                                                                                        |                 0 |                1 |
| Cetylpyridinium Chloride, Lidocaine Hydrochloride                                                    |                 0 |                1 |
| Pseudoephedrine Hydrochloride, Paracetamol                                                           |                 0 |                3 |
| Dimeticone, Magnesium Hydroxide, Aluminium Hydroxide                                                 |                 0 |                2 |
| Fludarabine Phosphate                                                                                |                 0 |                2 |
| Ibuprofen Sodium                                                                                     |                 0 |                1 |
| Abacavir, Lamivudine                                                                                 |                 0 |                2 |
| Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Sodium Acetate Trihydrate, Sodi |                 0 |                1 |
| Betamethasone, Calcipotriol                                                                          |                 0 |                3 |
| Olmesartan Medoxomil, Amlodipine Besilate                                                            |                 0 |                1 |
| Cilazapril                                                                                           |                 0 |                1 |
| Dorzolamide Hydrochloride                                                                            |                 0 |                4 |
| Thiamine Hydrochloride, Cyanocobalamin, Pyridoxine Hydrochloride                                     |                 0 |               20 |
| Folic Acid                                                                                           |                 0 |                4 |
| Iopromide                                                                                            |                 0 |                1 |
| Almotriptan                                                                                          |                 0 |                1 |
| Memantine Hydrochloride, Donepezil Hydrochloride                                                     |                 0 |                2 |
| Budesonide                                                                                           |                 0 |               63 |
| Pantoprazole Sodium                                                                                  |                 0 |                2 |
| Clioquinol, Fluocinolone Acetonide                                                                   |                 0 |                1 |
| Sennae Folium                                                                                        |                 0 |                1 |
| Econazole Nitrate, Triamcinolone Acetonide                                                           |                 0 |                1 |
| Topiramate                                                                                           |                 0 |                4 |
| Ivy Leaves, Dry Extract                                                                              |                 0 |                1 |
| Amlodipine, Ramipril                                                                                 |                 0 |                2 |
| Metoclopramide Hydrochloride                                                                         |                 0 |                2 |
| Calcium Folinate Pentahydrate                                                                        |                 0 |                4 |
| Phentermine, Topiramate                                                                              |                 0 |                1 |
| Cytisinicline                                                                                        |                 0 |                2 |
| Ertapenem                                                                                            |                 0 |                1 |
| Ursodeoxycholic Acid                                                                                 |                 0 |                3 |
| Graphite                                                                                             |                 0 |                1 |
| Levocabastine                                                                                        |                 0 |                2 |
| Ascorbic Acid                                                                                        |                 0 |                1 |
| Montelukast Sodium                                                                                   |                 0 |                6 |
| Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sodium Lactate                      |                 0 |                6 |
| Dexamethasone Sodium Phosphate, Neomycin Sulfate                                                     |                 0 |                2 |
| Spironolactone                                                                                       |                 0 |                1 |
| Ezetimibe                                                                                            |                 0 |               16 |
| Vortioxetine                                                                                         |                 0 |                6 |
| Human Serum Albumin                                                                                  |                 0 |                7 |
| Lisinopril                                                                                           |                 0 |                3 |
| Bacillus Calmette-Guérin (Bcg), Tice                                                                 |                 0 |                1 |
| Nicotine Resinate                                                                                    |                 0 |                4 |
| Cetirizine Dihydrochloride                                                                           |                 0 |               11 |
| Prulifloxacin                                                                                        |                 0 |                2 |
| Dimethyl Fumarate                                                                                    |                 0 |               13 |
| Taurine, Glycine, L-Tryptophan, L-Arginine, L-Histidine, L-Isoleucine, L-Leucine, L-Methionine, L-Pr |                 0 |                2 |
| Ibandronic Acid Monosodium Salt, Monohydrate                                                         |                 0 |                1 |
| Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Glucose Monohydrate, Sodium Ace |                 0 |                1 |
| Betamethasone Valerate                                                                               |                 0 |                4 |
| Olmesartan                                                                                           |                 0 |                1 |
| Ciclosporin                                                                                          |                 0 |                5 |
| Retinol Palmitate, Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Dexpanthenol, Folic Acid,  |                 0 |                1 |
| Dopamine Hydrochloride                                                                               |                 0 |                3 |
| Thiamine Hydrochloride                                                                               |                 0 |                1 |
| Flutrimazole                                                                                         |                 0 |                1 |
| Iohexol                                                                                              |                 0 |                2 |
| Algeldrate, Inactivated Hepatitis A Virus (Gbm Strain)                                               |                 0 |                2 |
| Brivudine                                                                                            |                 0 |                1 |
| Clindamycin Phosphate                                                                                |                 0 |               20 |
| Salmeterol Xinafoate                                                                                 |                 0 |                2 |
| Ebastine                                                                                             |                 0 |                3 |
| Tolterodine L-Tartrate                                                                               |                 0 |                1 |
| Galantamine                                                                                          |                 0 |                7 |
| Ivabradine Hydrochloride                                                                             |                 0 |                4 |
| Amlodipine, Indapamide, Perindopril Arginine                                                         |                 0 |                1 |
| Calcium Dobesilate                                                                                   |                 0 |                1 |
| Pheniramine Maleate, Ascorbic Acid, Paracetamol                                                      |                 0 |                1 |
| Cyclophosphamide Monohydrate                                                                         |                 0 |                2 |
| Sodium Fluoride (18f)                                                                                |                 0 |                1 |
| Ergotamine Tartrate, Anhydrous Caffeine                                                              |                 0 |                1 |
| Tyrothricin                                                                                          |                 0 |                1 |
| Gozetotide                                                                                           |                 0 |                1 |
| Leuprorelin                                                                                          |                 0 |                3 |
| Mometasone Furoate                                                                                   |                 0 |               15 |
| Carmellose Sodium                                                                                    |                 0 |                1 |
| Potassium Chloride, Glucose                                                                          |                 0 |                1 |
| Dexamethasone Sodium Phosphate, Chloramphenicol                                                      |                 0 |                4 |
| Sotalol Hydrochloride                                                                                |                 0 |                1 |
| Exametazime                                                                                          |                 0 |                1 |
| Vinorelbine                                                                                          |                 0 |                1 |
| Human Normal Immunoglobulin                                                                          |                 0 |                4 |
| Lipidosterolic Extract Of Serenoa Repens                                                             |                 0 |                1 |
| Azithromycin Dihydrate                                                                               |                 0 |                4 |
| Nevirapine                                                                                           |                 0 |                1 |
| Celiprolol Hydrochloride                                                                             |                 0 |                2 |
| Protamine Sulfate                                                                                    |                 0 |                1 |
| Dimenhydrinate, Nicotinic Acid, Pyridoxine Hydrochloride                                             |                 0 |                1 |
| Tanacetum Parthenium (L.) Schultz Bip.                                                               |                 0 |                1 |
| Flucloxacillin                                                                                       |                 0 |                2 |
| Hyoscyamus Oil                                                                                       |                 0 |                1 |
| Magnesium Carbonate Heavy, Calcium Acetate                                                           |                 0 |                2 |
| Betamethasone Dipropionate                                                                           |                 0 |                1 |
| Olanzapine                                                                                           |                 0 |               34 |
| Ciclesonide                                                                                          |                 0 |                2 |
| Remifentanil                                                                                         |                 0 |                3 |
| Domperidone                                                                                          |                 0 |                3 |
| Theophylline Anhydrous                                                                               |                 0 |                4 |
| Fluticasone Propionate                                                                               |                 0 |               19 |
| Iobitridol                                                                                           |                 0 |                2 |
| Alendronic Acid, Colecalciferol                                                                      |                 0 |                5 |
| Meglumine Amidotrizoate, Sodium Amidotrizoate                                                        |                 0 |                1 |
| Brinzolamide, Brimonidine Tartrate                                                                   |                 0 |                1 |
| Clidinium Bromide, Diazepam                                                                          |                 0 |                1 |
| Salbutamol Sulfate, Ipratropium Bromide Monohydrate                                                  |                 0 |                1 |
| Dydrogesterone                                                                                       |                 0 |                1 |
| Tizanidine Hydrochloride                                                                             |                 0 |                1 |
| Gadoteric Acid                                                                                       |                 0 |                5 |
| Itopride Hydrochloride                                                                               |                 0 |                1 |
| Amlodipine, Hydrochlorothiazide, Candesartan Cilexetil                                               |                 0 |                1 |
| Methyl Aminolevulinate                                                                               |                 0 |                1 |
| Calcium Chloride Dihydrate                                                                           |                 0 |                4 |
| Perampanel                                                                                           |                 0 |                2 |
| Cyanocobalamin, Folic Acid                                                                           |                 0 |                1 |
| Sodium Citrate                                                                                       |                 0 |                1 |
| Eprosartan Mesilate, Hydrochlorothiazide                                                             |                 0 |                1 |
| Trimetazidine Dihydrochloride                                                                        |                 0 |                2 |
| Glycopyrronium Bromide, Neostigmine Methylsulfate                                                    |                 0 |                1 |
| Lenvatinib                                                                                           |                 0 |                1 |
| Aprepitant                                                                                           |                 0 |                3 |
| Mitoxantrone                                                                                         |                 0 |                1 |
| Carbon Dioxide                                                                                       |                 0 |                1 |
| Poractant Alfa                                                                                       |                 0 |                1 |
| Dexamethasone Isonicotinate, Tramazoline Hydrochloride                                               |                 0 |                1 |
| Somatropin                                                                                           |                 0 |                6 |
| Etoricoxib                                                                                           |                 0 |                7 |
| Verapamil Hydrochloride                                                                              |                 0 |                1 |
| Human Cytomegalovirus Immunoglobulin                                                                 |                 0 |                1 |
| Azelastine Hydrochloride, Fluticasone Propionate                                                     |                 0 |                6 |
| Neomycin, Nystatin, Triamcinolone Acetonide                                                          |                 0 |                1 |
| Cefuroxime Axetil                                                                                    |                 0 |                5 |
| Propofol                                                                                             |                 0 |                4 |
| Dihydroergotamine Mesilate                                                                           |                 0 |                1 |
| Tamsulosin Hydrochloride                                                                             |                 0 |                7 |
| Fish Oil (Omega-3 Polyunsaturated Fatty Acids): Epa 17%, Dha 10%, Dpa 3%                             |                 0 |                1 |
| Magnesium                                                                                            |                 0 |                3 |
| Betaine Citrate                                                                                      |                 0 |                1 |
| Octenidine Dihydrochloride, Phenoxyethanol                                                           |                 0 |                2 |
| Choline Salicylate, Cetalkonium Chloride                                                             |                 0 |                1 |
| Ranolazine                                                                                           |                 0 |               10 |
| Doconexent, Eicosapentanoic Acid/Docosahexaenoic Acid                                                |                 0 |                1 |
| Tetrofosmin                                                                                          |                 0 |                3 |
| Flurbiprofen Ph. Eur.                                                                                |                 0 |                1 |
| Alendronate Sodium                                                                                   |                 0 |                1 |
| Botulinum Toxin Type A - Haemagglutinin Complex                                                      |                 0 |                4 |
| Oxymetazoline Hydrochloride                                                                          |                 0 |                3 |
| Citalopram Hydrochloride                                                                             |                 0 |               14 |
| Salbutamol                                                                                           |                 0 |                2 |
| Dry Extract Passion Flower (5-7:1), Extraction Solvent: Ethanol 60% V/V                              |                 0 |                1 |
| Tiotropium Bromide Monohydrate                                                                       |                 0 |                2 |
| Isosorbide Dinitrate                                                                                 |                 0 |                1 |
| Amlodipine Besilate, Nebivolol Hydrochloride                                                         |                 0 |                1 |
| Methotrexate                                                                                         |                 0 |                9 |
| Calcium Carbonate                                                                                    |                 0 |                2 |
| Pentostatin                                                                                          |                 0 |                1 |
| Colistin Mesilate Sodium                                                                             |                 0 |                1 |
| Sodium Chloride, Glucose Monohydrate                                                                 |                 0 |                6 |
| Epoetin Alfa                                                                                         |                 0 |                2 |
| Triflusal                                                                                            |                 0 |                1 |
| Glycine, Calcium Carbonate                                                                           |                 0 |                1 |
| Lavender Oil                                                                                         |                 0 |                1 |
| Apomorphine Hydrochloride Hemihydrate                                                                |                 0 |                5 |
| Mirabegron                                                                                           |                 0 |                4 |
| Carbomer                                                                                             |                 0 |                2 |
| Poliovirus (Inactivated) Type 3 (Saukett Strain), Pertussis Filamentous Haemagglutinin Adsorbed On A |                 0 |                1 |
| Desvenlafaxine                                                                                       |                 0 |                1 |
| Solifenacin                                                                                          |                 0 |                1 |
| Etidronate Disodium                                                                                  |                 0 |                2 |
| Vecuronium Bromide                                                                                   |                 0 |                1 |
| Human Coagulation Factor Viii                                                                        |                 0 |                2 |
| Lidocaine, Tribenoside                                                                               |                 0 |                1 |
| Azathioprine                                                                                         |                 0 |                2 |
| Neomycin Sulfate, Catalase                                                                           |                 0 |                1 |
| Ceftriaxone Sodium                                                                                   |                 0 |                7 |
| Promethazine Hydrochloride                                                                           |                 0 |                4 |
| Dienogest, Estradiol Valerate                                                                        |                 0 |                1 |
| Tamarind Extract, Senna Leaf Powder, Cassia Pulp Extract, Coriander Fruit Powder                     |                 0 |                1 |
| Fingolimod                                                                                           |                 0 |                8 |
| Hydroxyzine Hydrochloride                                                                            |                 0 |                3 |
| Macitentan                                                                                           |                 0 |                3 |
| Benzylpenicillin Sodium                                                                              |                 0 |                1 |
| Nystatin, Metronidazole                                                                              |                 0 |                1 |
| Chlorpromazine Hydrochloride                                                                         |                 0 |                2 |
| Ramipril, Rosuvastatin Calcium                                                                       |                 0 |                2 |
| Dl-Alpha Tocopherol Acetate                                                                          |                 0 |                1 |
| Tetracycline Hydrochloride                                                                           |                 0 |                3 |
| Indometacin                                                                                          |                 0 |                2 |
| Afatinib                                                                                             |                 0 |                1 |
| Mebeverine Hydrochloride                                                                             |                 0 |                1 |
| Bosentan                                                                                             |                 0 |                4 |
| Oxycodone Hydrochloride                                                                              |                 0 |                1 |
| Cisplatin                                                                                            |                 0 |                2 |
| Roxithromycin                                                                                        |                 0 |                9 |
| Dry Extract Of Passionflower Herb (Der 4 -6: 1), Extraction Solvent: Ethanol 70% V/V                 |                 0 |                1 |
| Tioconazole                                                                                          |                 0 |                2 |
| Fusidic Acid, Hydrocortisone Acetate                                                                 |                 0 |                3 |
| Isoprenaline Hydrochloride                                                                           |                 0 |                1 |
| Amlodipine                                                                                           |                 0 |               24 |
| Metformin Hydrochloride, Sitagliptin Hydrochloride Monohydrate                                       |                 0 |                1 |
| Calcitriol                                                                                           |                 0 |                1 |
| Pemetrexed                                                                                           |                 0 |                4 |
| Colecalciferol, Calcium                                                                              |                 0 |                4 |
| Sitagliptin, Dapagliflozin                                                                           |                 0 |                1 |
| Epinephrine, Lidocaine Hydrochloride                                                                 |                 0 |                1 |
| Trientine Dihydrochloride                                                                            |                 0 |                1 |
| Glucose, Anhydrous, Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, S |                 0 |                2 |
| Anti-T Lymphocyte Immunoglobulin For Human Use, Rabbit                                               |                 0 |                1 |
| Minocycline                                                                                          |                 0 |                1 |
| Carbocisteine                                                                                        |                 0 |                5 |
| Pitavastatin Calcium                                                                                 |                 0 |                1 |
| Desmopressin Acetate                                                                                 |                 0 |                1 |
| Sodium Picosulfate, Magnesium Oxide, Light, Citric Acid                                              |                 0 |                4 |
| Ethinylestradiol, Etonogestrel                                                                       |                 0 |                1 |
| Varicella Virus Oka Strain, (Live, Attenuated) Produced In Human Diploid (Mrc-5) Cells               |                 0 |                1 |
| Human Chorionic Gonadotropin                                                                         |                 0 |                1 |
| Avena Sativa D2, Passiflora Incarnata D2, Zincum Isovalerianicum D4, Coffea Arabica D12              |                 0 |                1 |
| Naratriptan                                                                                          |                 0 |                1 |
| Ceftazidime Pentahydrate                                                                             |                 0 |                2 |
| Progesterone                                                                                         |                 0 |               11 |
| Diclofenac Sodium, Omeprazole                                                                        |                 0 |                1 |
| Tacrolimus Monohydrate                                                                               |                 0 |                2 |
| Fesoterodine Fumarate                                                                                |                 0 |                1 |
| Hydroxycarbamide                                                                                     |                 0 |                1 |
| Benzydamine Hydrochloride                                                                            |                 0 |                6 |
| Norethisterone Acetate, Estradiol                                                                    |                 0 |                1 |
| Chlorphenamine Maleate, Paracetamol                                                                  |                 0 |                2 |
| Ramipril, Acetylsalicylic Acid, Atorvastatin Calcium Trihydrate                                      |                 0 |                1 |
| Tetanus Toxoid Adsorbed On Aluminium Hydroxide, Hydrated, Diphtheria Toxoid Adsorbed On Aluminium Hy |                 0 |                1 |
| Fluorouracil                                                                                         |                 0 |                4 |
| Indium (111in)                                                                                       |                 0 |                1 |
| Adapalene, Anhydrous Benzoyl Peroxide                                                                |                 0 |                1 |
| Matricariae Flos, Achillea Millefolium L. Herba, Marshmallow Root Powdered, Oak Bark Powdered, Dande |                 0 |                1 |
| Bisoprolol Fumarate, Ramipril                                                                        |                 0 |                1 |
| Ciprofloxacin, Fluocinolone                                                                          |                 0 |                1 |
| Ropivacaine Hydrochloride Monohydrate                                                                |                 0 |                2 |
| Dry Extract From Rubus Idaeus (3-5:1): Extraction Solvent: Water                                     |                 0 |                1 |
| Timolol, Travoprost                                                                                  |                 0 |                4 |
| Isoconazole Nitrate                                                                                  |                 0 |                1 |
| Amiodarone Hydrochloride                                                                             |                 0 |                2 |
| Metformin Hydrochloride, Pioglitazone                                                                |                 0 |                1 |
| Calcipotriol                                                                                         |                 0 |                1 |
| Pazopanib                                                                                            |                 0 |                2 |
